�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
35;Accipitriformes;Accipitridae;441695;440296;441695;Espèce;"Busarellus nigricollis";"(Latham, 1790)";"Busarellus nigricollis (Latham, 1790)";"Busarellus nigricollis (Latham, 1790)";"""Buse à tête blanche """;;Chordata;Aves;Animalia;;;;;
36;Accipitriformes;Accipitridae;441702;440297;441702;Espèce;"Buteogallus aequinoctialis";"(Gmelin, 1788)";"Buteogallus aequinoctialis (Gmelin, 1788)";"Buteogallus aequinoctialis (Gmelin, 1788)";"""Buse buson """;;Chordata;Aves;Animalia;;;;;
37;Accipitriformes;Accipitridae;441703;440297;441703;Espèce;"Buteogallus anthracinus";"Deppe, 1830";"Buteogallus anthracinus Deppe, 1830";"Buteogallus anthracinus Deppe, 1830";;;Chordata;Aves;Animalia;;;;;
38;Accipitriformes;Accipitridae;441704;440297;441704;Espèce;"Buteogallus meridionalis";"(Latham, 1790)";"Buteogallus meridionalis (Latham, 1790)";"Buteogallus meridionalis (Latham, 1790)";"""Buse roussâtre """;;Chordata;Aves;Animalia;;;;;
39;Accipitriformes;Accipitridae;782573;0;720201;Espèce;"Asturina schistacea";"Sundevall, 1850";"Asturina schistacea Sundevall, 1850";"Buteogallus schistaceus (Sundevall, 1850)";"Buse ardoisée";"Slate-coloured Hawk";Chordata;Aves;Animalia;;;;;
40;Accipitriformes;Accipitridae;720201;440297;720201;Espèce;"Buteogallus schistaceus";"(Sundevall, 1850)";"Buteogallus schistaceus (Sundevall, 1850)";"Buteogallus schistaceus (Sundevall, 1850)";"Buse ardoisée";"Slate-coloured Hawk";Chordata;Aves;Animalia;;;;;
41;Accipitriformes;Accipitridae;442036;0;720201;Espèce;"Leucopternis schistacea";"(Sundevall, 1850)";"Leucopternis schistacea (Sundevall, 1850)";"Buteogallus schistaceus (Sundevall, 1850)";"Buse ardoisée";"Slate-coloured Hawk";Chordata;Aves;Animalia;;;;;
42;Accipitriformes;Accipitridae;459495;0;720201;Espèce;"Leucopternis schistaceus";"(Sundevall, 1850)";"Leucopternis schistaceus (Sundevall, 1850)";"Buteogallus schistaceus (Sundevall, 1850)";"Buse ardoisée";"Slate-coloured Hawk";Chordata;Aves;Animalia;;;;;
43;Accipitriformes;Accipitridae;441705;440297;441705;Espèce;"Buteogallus urubitinga";"(Gmelin, 1788)";"Buteogallus urubitinga (Gmelin, 1788)";"Buteogallus urubitinga (Gmelin, 1788)";"""Buse urubu """;;Chordata;Aves;Animalia;;;;;
44;Accipitriformes;Accipitridae;441697;190128;441697;Espèce;"Buteo albonotatus";"Kaup, 1847";"Buteo albonotatus Kaup, 1847";"Buteo albonotatus Kaup, 1847";"""Buse à queue barrée """;;Chordata;Aves;Animalia;;;;;
45;Accipitriformes;Accipitridae;441698;190128;441698;Espèce;"Buteo brachyurus";"Vieillot, 1816";"Buteo brachyurus Vieillot, 1816";"Buteo brachyurus Vieillot, 1816";"""Buse à queue courte """;;Chordata;Aves;Animalia;;;;;
46;Accipitriformes;Accipitridae;2623;190128;2623;Espèce;"Buteo buteo";"(Linnaeus, 1758)";"Buteo buteo (Linnaeus, 1758)";"Buteo buteo (Linnaeus, 1758)";"Buse variable";"Common Buzzard";Chordata;Aves;Animalia;;;;;
47;Accipitriformes;Accipitridae;2625;0;2623;Espèce;"Falco buteo";"Linnaeus, 1758";"Falco buteo Linnaeus, 1758";"Buteo buteo (Linnaeus, 1758)";"Buse variable";"Common Buzzard";Chordata;Aves;Animalia;;;;;
48;Accipitriformes;Accipitridae;458792;0;2623;Espèce;"Falco vulgaris";;"""Falco vulgaris """;"Buteo buteo (Linnaeus, 1758)";"Buse variable";"Common Buzzard";Chordata;Aves;Animalia;;;;;
49;Accipitriformes;Accipitridae;779863;2623;779863;Sous-espèce;"Buteo buteo vulpinus";"Gloger, 1833";"Buteo buteo vulpinus Gloger, 1833";"Buteo buteo vulpinus Gloger, 1833";;;Chordata;Aves;Animalia;;;;;
