�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
202;Anseriformes;Anatidae;433478;0;2741;Espèce;"Anser domesticus";"(Linnaeus, 1758)";"Anser domesticus (Linnaeus, 1758)";"Anser anser (Linnaeus, 1758)";"Oie cendrée";"Greylag Goose";Chordata;Aves;Animalia;;;;;
203;Anseriformes;Anatidae;2744;2741;2744;Sous-espèce;"Anser anser anser";"(Linnaeus, 1758)";"Anser anser anser (Linnaeus, 1758)";"Anser anser anser (Linnaeus, 1758)";;;Chordata;Aves;Animalia;;;;;
204;Anseriformes;Anatidae;2745;2741;2745;Sous-espèce;"Anser anser rubrirostris";"Swinhoe, 1871";"Anser anser rubrirostris Swinhoe, 1871";"Anser anser rubrirostris Swinhoe, 1871";;;Chordata;Aves;Animalia;;;;;
205;Anseriformes;Anatidae;2725;189224;2725;Espèce;"Anser brachyrhynchus";"(Baillon, 1833)";"Anser brachyrhynchus (Baillon, 1833)";"Anser brachyrhynchus (Baillon, 1833)";"Oie à bec court";"Pink-footed Goose";Chordata;Aves;Animalia;;Canard;marron;jaune;
206;Anseriformes;Anatidae;2729;0;2727;Espèce;"Anas caerulescens";"Linnaeus, 1758";"Anas caerulescens Linnaeus, 1758";"Anser caerulescens (Linnaeus, 1758)";"Oie des neiges";"Snow Goose";Chordata;Aves;Animalia;;;;;
207;Anseriformes;Anatidae;2727;189224;2727;Espèce;"Anser caerulescens";"(Linnaeus, 1758)";"Anser caerulescens (Linnaeus, 1758)";"Anser caerulescens (Linnaeus, 1758)";"Oie des neiges";"Snow Goose";Chordata;Aves;Animalia;;;;;
208;Anseriformes;Anatidae;2730;0;2727;Espèce;"Chen caerulescens";"(Linnaeus, 1758)";"Chen caerulescens (Linnaeus, 1758)";"Anser caerulescens (Linnaeus, 1758)";"Oie des neiges";"Snow Goose";Chordata;Aves;Animalia;;;;;
209;Anseriformes;Anatidae;2739;189224;2739;Espèce;"Anser erythropus";"(Linnaeus, 1758)";"Anser erythropus (Linnaeus, 1758)";"Anser erythropus (Linnaeus, 1758)";"Oie naine";"Lesser White-fronted Goose";Chordata;Aves;Animalia;;;;;
210;Anseriformes;Anatidae;2720;189224;2720;Espèce;"Anser fabalis";"(Latham, 1787)";"Anser fabalis (Latham, 1787)";"Anser fabalis (Latham, 1787)";"Oie des moissons";"Bean Goose";Chordata;Aves;Animalia;;;;;
211;Anseriformes;Anatidae;2722;0;2720;Espèce;"Anser fabilis";"Latham, 1787";"Anser fabilis Latham, 1787";"Anser fabalis (Latham, 1787)";"Oie des moissons";"Bean Goose";Chordata;Aves;Animalia;;;;;
212;Anseriformes;Anatidae;2723;2720;2723;Sous-espèce;"Anser fabalis fabalis";"(Latham, 1787)";"Anser fabalis fabalis (Latham, 1787)";"Anser fabalis fabalis (Latham, 1787)";;;Chordata;Aves;Animalia;;;;;
213;Anseriformes;Anatidae;2724;2720;2724;Sous-espèce;"Anser fabalis rossicus";"Buturlin, 1933";"Anser fabalis rossicus Buturlin, 1933";"Anser fabalis rossicus Buturlin, 1933";;;Chordata;Aves;Animalia;;;;;
214;Anseriformes;Anatidae;2731;189224;2731;Espèce;"Anser indicus";"(Latham, 1790)";"Anser indicus (Latham, 1790)";"Anser indicus (Latham, 1790)";"Oie à tête barrée";;Chordata;Aves;Animalia;;;;;
215;Anseriformes;Anatidae;2733;0;2731;Espèce;"Eulabeia indica";Latham;"Eulabeia indica Latham";"Anser indicus (Latham, 1790)";"Oie à tête barrée";;Chordata;Aves;Animalia;;;;;
216;Anseriformes;Anatidae;199305;189690;199305;Espèce;"Aythya affinis";"(Eyton, 1838)";"Aythya affinis (Eyton, 1838)";"Aythya affinis (Eyton, 1838)";"Fuligule à tête noire, Petit Fuligule";"Lesser Scaup";Chordata;Aves;Animalia;;;;;
217;Anseriformes;Anatidae;814136;0;199305;Espèce;"Fuligula affinis";"Eyton, 1838";"Fuligula affinis Eyton, 1838";"Aythya affinis (Eyton, 1838)";"Fuligule à tête noire, Petit Fuligule";"Lesser Scaup";Chordata;Aves;Animalia;;;;;
218;Anseriformes;Anatidae;199304;189690;199304;Espèce;"Aythya americana";"(Eyton, 1838)";"Aythya americana (Eyton, 1838)";"Aythya americana (Eyton, 1838)";"Fuligule à tête rouge";"Redhead [duck]";Chordata;Aves;Animalia;;;;;
219;Anseriformes;Anatidae;441683;189690;441683;Espèce;"Aythya australis";"(Eyton, 1838)";"Aythya australis (Eyton, 1838)";"Aythya australis (Eyton, 1838)";;;Chordata;Aves;Animalia;;;;;
220;Anseriformes;Anatidae;432704;441683;432704;Sous-espèce;"Aythya australis australis";"(Eyton, 1838)";"Aythya australis australis (Eyton, 1838)";"Aythya australis australis (Eyton, 1838)";"Fuligule austral";"Hardhead, Australasian white-eye, White-eyed Duck";Chordata;Aves;Animalia;;;;;
221;Anseriformes;Anatidae;1990;0;1988;Espèce;"Anas collaris";"Donovan, 1809";"Anas collaris Donovan, 1809";"Aythya collaris (Donovan, 1809)";"Fuligule à bec cerclé, Fuligule à collier";"Ring-necked Duck";Chordata;Aves;Animalia;;;;;
222;Anseriformes;Anatidae;1988;189690;1988;Espèce;"Aythya collaris";"(Donovan, 1809)";"Aythya collaris (Donovan, 1809)";"Aythya collaris (Donovan, 1809)";"Fuligule à bec cerclé, Fuligule à collier";"Ring-necked Duck";Chordata;Aves;Animalia;;;;;
223;Anseriformes;Anatidae;1994;0;1991;Espèce;"Anas ferina";"Linnaeus, 1758";"Anas ferina Linnaeus, 1758";"Aythya ferina (Linnaeus, 1758)";"Fuligule milouin";"Common Pochard";Chordata;Aves;Animalia;;;;;
224;Anseriformes;Anatidae;1991;189690;1991;Espèce;"Aythya ferina";"(Linnaeus, 1758)";"Aythya ferina (Linnaeus, 1758)";"Aythya ferina (Linnaeus, 1758)";"Fuligule milouin";"Common Pochard";Chordata;Aves;Animalia;;;;;
225;Anseriformes;Anatidae;1993;0;1991;Espèce;"Nyroca ferina";;"""Nyroca ferina """;"Aythya ferina (Linnaeus, 1758)";"Fuligule milouin";"Common Pochard";Chordata;Aves;Animalia;;;;;
226;Anseriformes;Anatidae;2000;0;1998;Espèce;"Anas fuligula";"Linnaeus, 1758";"Anas fuligula Linnaeus, 1758";"Aythya fuligula (Linnaeus, 1758)";"Fuligule morillon";"Tufted Duck";Chordata;Aves;Animalia;;;;;
227;Anseriformes;Anatidae;1998;189690;1998;Espèce;"Aythya fuligula";"(Linnaeus, 1758)";"Aythya fuligula (Linnaeus, 1758)";"Aythya fuligula (Linnaeus, 1758)";"Fuligule morillon";"Tufted Duck";Chordata;Aves;Animalia;;;;;
228;Anseriformes;Anatidae;2003;0;2001;Espèce;"Anas marila";"Linnaeus, 1761";"Anas marila Linnaeus, 1761";"Aythya marila (Linnaeus, 1761)";"Fuligule milouinan";"Greater Scaup";Chordata;Aves;Animalia;;;;;
229;Anseriformes;Anatidae;2001;189690;2001;Espèce;"Aythya marila";"(Linnaeus, 1761)";"Aythya marila (Linnaeus, 1761)";"Aythya marila (Linnaeus, 1761)";"Fuligule milouinan";"Greater Scaup";Chordata;Aves;Animalia;;;;;
230;Anseriformes;Anatidae;1997;0;1995;Espèce;"Anas nyroca";"Guldenstad, 1770";"Anas nyroca Guldenstad, 1770";"Aythya nyroca (Güldenstädt, 1770)";"Fuligule nyroca";"Ferruginous Duck";Chordata;Aves;Animalia;;;;;
231;Anseriformes;Anatidae;1995;189690;1995;Espèce;"Aythya nyroca";"(Güldenstädt, 1770)";"Aythya nyroca (Güldenstädt, 1770)";"Aythya nyroca (Güldenstädt, 1770)";"Fuligule nyroca";"Ferruginous Duck";Chordata;Aves;Animalia;;;;;
232;Anseriformes;Anatidae;416717;0;1995;Espèce;"Nyroca fuligula";;"""Nyroca fuligula """;"Aythya nyroca (Güldenstädt, 1770)";"Fuligule nyroca";"Ferruginous Duck";Chordata;Aves;Animalia;;;;;
233;Anseriformes;Anatidae;199303;189690;199303;Espèce;"Aythya valisineria";"(Wilson, 1814)";"Aythya valisineria (Wilson, 1814)";"Aythya valisineria (Wilson, 1814)";"Fuligule à dos blanc";Canvasback;Chordata;Aves;Animalia;;;;;
234;Anseriformes;Anatidae;2759;0;2757;Espèce;"Anas bernicla";"Linnaeus, 1758";"Anas bernicla Linnaeus, 1758";"Branta bernicla (Linnaeus, 1758)";"Bernache cravant";"Brent Goose";Chordata;Aves;Animalia;;;;;
235;Anseriformes;Anatidae;2757;190037;2757;Espèce;"Branta bernicla";"(Linnaeus, 1758)";"Branta bernicla (Linnaeus, 1758)";"Branta bernicla (Linnaeus, 1758)";"Bernache cravant";"Brent Goose";Chordata;Aves;Animalia;;;;;
236;Anseriformes;Anatidae;2760;2757;2760;Sous-espèce;"Branta bernicla bernicla";"(Linnaeus, 1758)";"Branta bernicla bernicla (Linnaeus, 1758)";"Branta bernicla bernicla (Linnaeus, 1758)";;;Chordata;Aves;Animalia;;;;;
237;Anseriformes;Anatidae;2762;2757;2762;Sous-espèce;"Branta bernicla hrota";"(O.F. Müller, 1776)";"Branta bernicla hrota (O.F. Müller, 1776)";"Branta bernicla hrota (O.F. Müller, 1776)";"Bernache à ventre pâle";;Chordata;Aves;Animalia;;;;;
238;Anseriformes;Anatidae;199299;0;2762;Espèce;"Branta hrota";"(O.F. Müller, 1776)";"Branta hrota (O.F. Müller, 1776)";"Branta bernicla hrota (O.F. Müller, 1776)";"Bernache à ventre pâle";;Chordata;Aves;Animalia;;;;;
239;Anseriformes;Anatidae;2749;0;2747;Espèce;"Anas canadensis";"Linnaeus, 1758";"Anas canadensis Linnaeus, 1758";"Branta canadensis (Linnaeus, 1758)";"Bernache du Canada";"Canada Goose";Chordata;Aves;Animalia;;;;;
240;Anseriformes;Anatidae;2747;190037;2747;Espèce;"Branta canadensis";"(Linnaeus, 1758)";"Branta canadensis (Linnaeus, 1758)";"Branta canadensis (Linnaeus, 1758)";"Bernache du Canada";"Canada Goose";Chordata;Aves;Animalia;;;;;
241;Anseriformes;Anatidae;2752;0;2750;Espèce;"Anas leucopsis";"Bechstein, 1803";"Anas leucopsis Bechstein, 1803";"Branta leucopsis (Bechstein, 1803)";"Bernache nonnette";"Barnacle Goose";Chordata;Aves;Animalia;;;;;
242;Anseriformes;Anatidae;2750;190037;2750;Espèce;"Branta leucopsis";"(Bechstein, 1803)";"Branta leucopsis (Bechstein, 1803)";"Branta leucopsis (Bechstein, 1803)";"Bernache nonnette";"Barnacle Goose";Chordata;Aves;Animalia;;;;;
243;Anseriformes;Anatidae;534762;0;199300;Sous-espèce;"Branta bernicla nigricans";"(Lawrence, 1846)";"Branta bernicla nigricans (Lawrence, 1846)";"Branta nigricans (Lawrence, 1846)";"Bernache du Pacifique";;Chordata;Aves;Animalia;;;;;
244;Anseriformes;Anatidae;199300;190037;199300;Espèce;"Branta nigricans";"(Lawrence, 1846)";"Branta nigricans (Lawrence, 1846)";"Branta nigricans (Lawrence, 1846)";"Bernache du Pacifique";;Chordata;Aves;Animalia;;;;;
245;Anseriformes;Anatidae;2755;0;2753;Espèce;"Anser ruficollis";"Pallas, 1769";"Anser ruficollis Pallas, 1769";"Branta ruficollis (Pallas, 1769)";"Bernache à cou roux";"Red-breasted Goose";Chordata;Aves;Animalia;;;;;
246;Anseriformes;Anatidae;2753;190037;2753;Espèce;"Branta ruficollis";"(Pallas, 1769)";"Branta ruficollis (Pallas, 1769)";"Branta ruficollis (Pallas, 1769)";"Bernache à cou roux";"Red-breasted Goose";Chordata;Aves;Animalia;;"Fin et court";noir;noir;
247;Anseriformes;Anatidae;2756;0;2753;Espèce;"Rufibrenta ruficollis";;"""Rufibrenta ruficollis """;"Branta ruficollis (Pallas, 1769)";"Bernache à cou roux";"Red-breasted Goose";Chordata;Aves;Animalia;;;;;
248;Anseriformes;Anatidae;814137;0;199310;Espèce;"Anas albeola";"Linnaeus, 1758";"Anas albeola Linnaeus, 1758";"Bucephala albeola (Linnaeus, 1758)";"Garrot albéole";Bufflehead;Chordata;Aves;Animalia;;;;;
249;Anseriformes;Anatidae;199310;190092;199310;Espèce;"Bucephala albeola";"(Linnaeus, 1758)";"Bucephala albeola (Linnaeus, 1758)";"Bucephala albeola (Linnaeus, 1758)";"Garrot albéole";Bufflehead;Chordata;Aves;Animalia;;;;;
250;Anseriformes;Anatidae;2811;0;2808;Espèce;"Anas clangula";"Linnaeus, 1758";"Anas clangula Linnaeus, 1758";"Bucephala clangula (Linnaeus, 1758)";"Garrot à oeil d'or";"Common Goldeneye";Chordata;Aves;Animalia;;;;;
251;Anseriformes;Anatidae;2808;190092;2808;Espèce;"Bucephala clangula";"(Linnaeus, 1758)";"Bucephala clangula (Linnaeus, 1758)";"Bucephala clangula (Linnaeus, 1758)";"Garrot à oeil d'or";"Common Goldeneye";Chordata;Aves;Animalia;;Canard;noir;rouge/orange;
252;Anseriformes;Anatidae;2810;0;2808;Espèce;"Glaucionetta clangula";;"""Glaucionetta clangula """;"Bucephala clangula (Linnaeus, 1758)";"Garrot à oeil d'or";"Common Goldeneye";Chordata;Aves;Animalia;;;;;
253;Anseriformes;Anatidae;2807;0;2805;Espèce;"Anas islandica";"Gmelin, 1789";"Anas islandica Gmelin, 1789";"Bucephala islandica (Gmelin, 1789)";"Garrot d'Islande";"Barrow's Goldeneye";Chordata;Aves;Animalia;;;;;
254;Anseriformes;Anatidae;2805;190092;2805;Espèce;"Bucephala islandica";"(Gmelin, 1789)";"Bucephala islandica (Gmelin, 1789)";"Bucephala islandica (Gmelin, 1789)";"Garrot d'Islande";"Barrow's Goldeneye";Chordata;Aves;Animalia;;;;;
255;Anseriformes;Anatidae;780301;0;441709;Espèce;"Anas moschata";"Linnaeus, 1758";"Anas moschata Linnaeus, 1758";"Cairina moschata (Linnaeus, 1758)";"Canard musqué";"Muscovy Duck";Chordata;Aves;Animalia;;;;;
256;Anseriformes;Anatidae;441709;440300;441709;Espèce;"Cairina moschata";"(Linnaeus, 1758)";"Cairina moschata (Linnaeus, 1758)";"Cairina moschata (Linnaeus, 1758)";"Canard musqué";"Muscovy Duck";Chordata;Aves;Animalia;;;;;
257;Anseriformes;Anatidae;813758;0;813757;Espèce;"Anas leucophrys";"Vieillot, 1816";"Anas leucophrys Vieillot, 1816";"Callonetta leucophrys (Vieillot, 1816)";"Canard à collier noir";"Ringed Teal";Chordata;Aves;Animalia;;;;;
258;Anseriformes;Anatidae;813757;813756;813757;Espèce;"Callonetta leucophrys";"(Vieillot, 1816)";"Callonetta leucophrys (Vieillot, 1816)";"Callonetta leucophrys (Vieillot, 1816)";"Canard à collier noir";"Ringed Teal";Chordata;Aves;Animalia;;;;;
259;Anseriformes;Anatidae;2792;0;2790;Espèce;"Anas hyemalis";"Linnaeus, 1758";"Anas hyemalis Linnaeus, 1758";"Clangula hyemalis (Linnaeus, 1758)";"Harelde de Miquelon, Harelde boréale";;Chordata;Aves;Animalia;;;;;
260;Anseriformes;Anatidae;2790;190884;2790;Espèce;"Clangula hyemalis";"(Linnaeus, 1758)";"Clangula hyemalis (Linnaeus, 1758)";"Clangula hyemalis (Linnaeus, 1758)";"Harelde de Miquelon, Harelde boréale";;Chordata;Aves;Animalia;;;;;
261;Anseriformes;Anatidae;2702;191416;2702;Espèce;"Cygnus atratus";"(Latham, 1790)";"Cygnus atratus (Latham, 1790)";"Cygnus atratus (Latham, 1790)";"Cygne noir";;Chordata;Aves;Animalia;;;;;
262;Anseriformes;Anatidae;2711;0;2709;Espèce;"Anas columbianus";"Ord, 1815";"Anas columbianus Ord, 1815";"Cygnus columbianus (Ord, 1815)";"Cygne de Bewick";"Tundra Swan";Chordata;Aves;Animalia;;;;;
263;Anseriformes;Anatidae;2703;0;2709;Espèce;"Cygnus colombianus";;"""Cygnus colombianus """;"Cygnus columbianus (Ord, 1815)";"Cygne de Bewick";"Tundra Swan";Chordata;Aves;Animalia;;;;;
264;Anseriformes;Anatidae;2713;0;2709;Sous-espèce;"Cygnus columbianus columbianus";"(Ord, 1815)";"Cygnus columbianus columbianus (Ord, 1815)";"Cygnus columbianus (Ord, 1815)";"Cygne de Bewick";"Tundra Swan";Chordata;Aves;Animalia;;;;;
265;Anseriformes;Anatidae;2709;191416;2709;Espèce;"Cygnus columbianus";"(Ord, 1815)";"Cygnus columbianus (Ord, 1815)";"Cygnus columbianus (Ord, 1815)";"Cygne de Bewick";"Tundra Swan";Chordata;Aves;Animalia;;;;;
266;Anseriformes;Anatidae;2712;0;2709;Espèce;"Olor columbianus";;"""Olor columbianus """;"Cygnus columbianus (Ord, 1815)";"Cygne de Bewick";"Tundra Swan";Chordata;Aves;Animalia;;;;;
267;Anseriformes;Anatidae;2705;0;2714;Espèce;"Cygnus bewickii";"Yarrell, 1830";"Cygnus bewickii Yarrell, 1830";"Cygnus columbianus bewickii (Yarrel, 1830)";"Cygne de Bewick";;Chordata;Aves;Animalia;;;;;
268;Anseriformes;Anatidae;2714;2709;2714;Sous-espèce;"Cygnus columbianus bewickii";"(Yarrel, 1830)";"Cygnus columbianus bewickii (Yarrel, 1830)";"Cygnus columbianus bewickii (Yarrel, 1830)";"Cygne de Bewick";;Chordata;Aves;Animalia;;;;;
269;Anseriformes;Anatidae;2717;0;2715;Espèce;"Anas cygnus";"Linnaeus, 1758";"Anas cygnus Linnaeus, 1758";"Cygnus cygnus (Linnaeus, 1758)";"Cygne chanteur";"Whooper Swan";Chordata;Aves;Animalia;;;;;
270;Anseriformes;Anatidae;2715;191416;2715;Espèce;"Cygnus cygnus";"(Linnaeus, 1758)";"Cygnus cygnus (Linnaeus, 1758)";"Cygnus cygnus (Linnaeus, 1758)";"Cygne chanteur";"Whooper Swan";Chordata;Aves;Animalia;;Canard;blanc;noir;
271;Anseriformes;Anatidae;2718;0;2715;Espèce;"Olor cygnus";;"""Olor cygnus """;"Cygnus cygnus (Linnaeus, 1758)";"Cygne chanteur";"Whooper Swan";Chordata;Aves;Animalia;;;;;
272;Anseriformes;Anatidae;2708;0;2706;Espèce;"Anas olor";"Gmelin, 1789";"Anas olor Gmelin, 1789";"Cygnus olor (Gmelin, 1803)";"Cygne tuberculé";"Mute Swan";Chordata;Aves;Animalia;;;;;
273;Anseriformes;Anatidae;2706;191416;2706;Espèce;"Cygnus olor";"(Gmelin, 1803)";"Cygnus olor (Gmelin, 1803)";"Cygnus olor (Gmelin, 1803)";"Cygne tuberculé";"Mute Swan";Chordata;Aves;Animalia;;;;;
274;Anseriformes;Anatidae;441860;199216;441860;Espèce;"Dendrocygna arborea";"(Linnaeus, 1758)";"Dendrocygna arborea (Linnaeus, 1758)";"Dendrocygna arborea (Linnaeus, 1758)";"Dendrocygne des Antilles";"West-Indian Whistling-duck";Chordata;Aves;Animalia;;;;;
275;Anseriformes;Anatidae;441861;199216;441861;Espèce;"Dendrocygna arcuata";"(Horsfield, 1824)";"Dendrocygna arcuata (Horsfield, 1824)";"Dendrocygna arcuata (Horsfield, 1824)";;;Chordata;Aves;Animalia;;;;;
276;Anseriformes;Anatidae;432699;441861;432699;Sous-espèce;"Dendrocygna arcuata arcuata";"(Horsfield, 1824)";"Dendrocygna arcuata arcuata (Horsfield, 1824)";"Dendrocygna arcuata arcuata (Horsfield, 1824)";;;Chordata;Aves;Animalia;;;;;
277;Anseriformes;Anatidae;829197;0;441862;Espèce;"Anas autumnalis";"Linnaeus, 1758";"Anas autumnalis Linnaeus, 1758";"Dendrocygna autumnalis (Linnaeus, 1758)";"Dendrocygne à ventre noir";"Black-bellied Whistling-duck";Chordata;Aves;Animalia;;;;;
278;Anseriformes;Anatidae;441862;199216;441862;Espèce;"Dendrocygna autumnalis";"(Linnaeus, 1758)";"Dendrocygna autumnalis (Linnaeus, 1758)";"Dendrocygna autumnalis (Linnaeus, 1758)";"Dendrocygne à ventre noir";"Black-bellied Whistling-duck";Chordata;Aves;Animalia;;;;;
279;Anseriformes;Anatidae;2398;199216;2398;Espèce;"Dendrocygna bicolor";"(Vieillot, 1816)";"Dendrocygna bicolor (Vieillot, 1816)";"Dendrocygna bicolor (Vieillot, 1816)";"Dendrocygne fauve";"Fulvous Whistling-duck";Chordata;Aves;Animalia;;;;;
280;Anseriformes;Anatidae;2399;199216;2399;Espèce;"Dendrocygna viduata";"(Linnaeus, 1766)";"Dendrocygna viduata (Linnaeus, 1766)";"Dendrocygna viduata (Linnaeus, 1766)";"Dendrocygne veuf";;Chordata;Aves;Animalia;;;;;
281;Anseriformes;Anatidae;2788;193316;2788;Espèce;"Histrionicus histrionicus";"(Linnaeus, 1758)";"Histrionicus histrionicus (Linnaeus, 1758)";"Histrionicus histrionicus (Linnaeus, 1758)";"Arlequin plongeur, Garrot arlequin";"Harlequin Duck";Chordata;Aves;Animalia;;;;;
282;Anseriformes;Anatidae;199311;199218;199311;Espèce;"Lophodytes cucullatus";"(Linnaeus, 1758)";"Lophodytes cucullatus (Linnaeus, 1758)";"Lophodytes cucullatus (Linnaeus, 1758)";"Harle couronné";"Hooded Merganser";Chordata;Aves;Animalia;;;;;
283;Anseriformes;Anatidae;813532;0;199311;Espèce;"Mergellus cucullatus";"(Linnaeus, 1758)";"Mergellus cucullatus (Linnaeus, 1758)";"Lophodytes cucullatus (Linnaeus, 1758)";"Harle couronné";"Hooded Merganser";Chordata;Aves;Animalia;;;;;
284;Anseriformes;Anatidae;2820;0;199311;Espèce;"Mergus cucullatus";"Linnaeus, 1758";"Mergus cucullatus Linnaeus, 1758";"Lophodytes cucullatus (Linnaeus, 1758)";"Harle couronné";"Hooded Merganser";Chordata;Aves;Animalia;;;;;
285;Anseriformes;Anatidae;1953;0;1955;Espèce;"Anas americana";"Gmelin, 1789";"Anas americana Gmelin, 1789";"Mareca americana (Gmelin, 1789)";"Canard à front blanc, Canard d'Amérique";"American wigeon";Chordata;Aves;Animalia;;;;;
286;Anseriformes;Anatidae;1955;836202;1955;Espèce;"Mareca americana";"(Gmelin, 1789)";"Mareca americana (Gmelin, 1789)";"Mareca americana (Gmelin, 1789)";"Canard à front blanc, Canard d'Amérique";"American wigeon";Chordata;Aves;Animalia;;;;;
287;Anseriformes;Anatidae;1950;0;1952;Espèce;"Anas penelope";"Linnaeus, 1758";"Anas penelope Linnaeus, 1758";"Mareca penelope (Linnaeus, 1758)";"Canard siffleur";"Eurasian Wigeon";Chordata;Aves;Animalia;;;;;
288;Anseriformes;Anatidae;1952;836202;1952;Espèce;"Mareca penelope";"(Linnaeus, 1758)";"Mareca penelope (Linnaeus, 1758)";"Mareca penelope (Linnaeus, 1758)";"Canard siffleur";"Eurasian Wigeon";Chordata;Aves;Animalia;;;;;
289;Anseriformes;Anatidae;1956;0;836203;Espèce;"Anas strepera";"Linnaeus, 1758";"Anas strepera Linnaeus, 1758";"Mareca strepera (Linnaeus, 1758)";"Canard chipeau";Gadwall;Chordata;Aves;Animalia;;Canard;gris;rouge/orange;
290;Anseriformes;Anatidae;836203;836202;836203;Espèce;"Mareca strepera";"(Linnaeus, 1758)";"Mareca strepera (Linnaeus, 1758)";"Mareca strepera (Linnaeus, 1758)";"Canard chipeau";Gadwall;Chordata;Aves;Animalia;;;;;
